OTU	Adenoma1.2065.S1.L001	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma2.2113.S2.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma3.2123.S3.L001	Adenoma30.3509.S30.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer1.2355.S61.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer2.2455.S62.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer3.2513.S63.L001	Cancer30.2863.S90.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy1.2027.S31.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy2.2779.S32.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy3.3021.S33.L001	Healthy30.3291.66.S60.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
otu1	0	0	0	1	0	0	0	0	28	0	0	19	1	0	0	0	0	0	0	1	85	0	0	2	0	359	16	0	0	0	1	0	0	0	114	0	0	0	0	115	3	0	0	0	0	0	0	0	0	0	0	0	12	0	60	0	0	0	86	0	0	1	0	0	0	0	0	0	587	1	0	0	0	3	0	0	0	0	449	0	1	0	60	0	0	0	0	0	0	2532
otu2	6	0	1	11	8	0	0	2	0	78	0	1	0	0	0	7	0	5	0	0	0	0	0	35	0	0	20	0	3	0	13	1	5	1	53	0	0	0	0	8	0	11	0	0	4	1	0	128	0	1	0	0	0	5	0	0	2	0	0	0	0	0	0	49	0	0	0	0	1	0	99	2	0	1	2	0	139	302	0	0	0	0	0	1	0	4	0	138	1	0
otu3	10	16	1	0	27	10	13	27	32	109	1	2	16	9	1	39	7	5	0	35	2	31	0	48	11	0	47	15	2	1	57	14	14	1	63	1	2	5	5	21	12	44	4	0	25	13	11	134	6	0	1	5	17	24	23	7	5	0	9	13	2	3	4	65	0	9	15	20	5	0	65	4	1	14	15	1	102	503	29	3	6	5	28	8	9	4	5	172	1	28
otu4	38	0	0	0	64	1	0	5	50	0	32	12	1	40	9	42	6	2	2	0	0	38	0	8	5	0	0	36	7	2	4	12	0	10	5	4	0	0	14	8	0	8	0	0	14	0	28	0	0	5	1	42	2	6	8	3	3	0	0	3	23	6	0	0	0	32	0	0	7	2	1	0	18	12	0	1	0	48	0	14	16	61	5	1	44	0	0	0	0	1
otu5	337	59	1249	6	671	181	5	2474	500	5	6314	2895	2925	16	82	18	4050	2707	1276	2787	581	4	5	3	939	266	3747	11	505	1013	659	1225	4	1282	3	11	2508	39	1234	44	4	0	23	1465	5821	18	18	5	75	3029	8033	245	717	26	2	112	2961	33	59	3	4122	536	2	2	1	2318	4	4	1291	340	4	1372	2019	4	153	5467	115	3	2	703	2342	1043	0	301	321	3	4	2	2292	1
otu6	3	0	8	12	54	351	0	16	1	0	354	81	604	33	98	3	0	7	4	0	2	67	62	0	7	3	0	0	4	615	263	7	0	58	141	4	13	0	124	1	2	35	88	449	5	3	11	0	1	40	0	10	0	83	31	4	214	0	0	57	0	80	0	0	122	491	30	0	11	102	1	25	5	3	72	189	7	23	13	4	350	106	37	12	1	18	539	2	64	168
otu7	142	62	2	1	377	317	6	1	2	6	216	168	1	85	400	1	42	158	144	0	226	0	340	1	1	189	3	1	822	1191	239	331	0	1	316	17	106	0	632	0	0	155	1276	0	0	2	154	0	0	514	1	27	213	1878	223	100	313	0	0	67	0	713	0	44	0	678	141	0	760	501	112	1	124	288	98	0	103	0	431	899	0	66	0	358	13	106	1952	1	0	151
otu8	34	0	0	0	20	0	50	0	0	0	0	1	0	0	0	1	0	2	5	0	0	0	0	0	0	48	0	0	0	5	30	1	0	0	0	0	23	0	2	0	0	4	0	0	0	1	0	0	1	0	0	0	0	2	13	8	172	0	0	1	0	0	0	0	0	21	0	0	68	11	1	0	12	4	0	0	27	6	0	23	0	9	0	1	0	0	33	0	81	0
otu9	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	17	0	0	11	0	0	0	0	0	0	1	0	0	20	0	78	0	0	0	1	0	0	0	2	59	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24	26	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
otu10	52	63	13	1	0	2	101	68	5	2	1261	91	349	405	16	4	223	32	12	24	38	0	75	3	8	68	0	1	725	184	85	31	825	18	0	27	56	0	126	1	9	95	21	1564	0	1	97	2	0	229	75	61	1	74	94	307	1	1	1	4216	0	240	0	48	0	1150	24	3	330	154	6	0	113	191	1	222	2	11	213	813	420	24	66	92	0	14	0	1	1598	1
otu11	0	0	0	0	0	3	0	0	0	0	2	8	0	0	9	0	1	11	9	0	0	0	1	0	0	2	0	0	2	2	0	48	0	0	0	4	49	0	6	0	0	2	15	0	0	0	0	0	0	3	0	1	0	22	27	0	0	0	0	0	0	4	0	0	0	1	1	0	11	1	9	0	24	1	0	30	0	0	0	16	0	2	0	1	0	5	66	0	179	0
otu12	0	1	35	0	0	0	0	15	0	0	67	74	2	0	156	2	22	124	33	0	25	1	3	0	0	116	0	0	106	260	0	242	0	10	50	38	172	0	6	17	0	55	212	0	0	0	19	0	0	11	0	4	15	268	19	4	75	0	0	0	0	0	0	0	15	110	56	1	777	0	464	0	90	20	5	54	67	0	87	44	0	36	2	11	4	1	458	0	172	49
otu13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu14	0	0	0	0	0	0	0	0	0	0	0	0	4	14	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	18	0	0	1	2	1	0	0	2	0	1	0	4	0	0	0	1	0	0	0	1	1	0	0	1	5	0	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	8	12	0	12	1	2
otu15	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	73	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu16	0	0	4	45	1	242	27	5	0	0	0	2	0	0	0	0	6	0	5	93	0	0	0	0	0	28	0	2	0	0	1	0	0	1	0	2	0	778	0	6456	0	0	0	0	1	0	1	622	2210	7	0	0	1	1	0	0	8	176	1	0	0	1	11	1	1	0	1	0	0	0	1	15	0	0	88	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0
otu17	5	0	1	2	16	0	0	1	0	137	0	0	0	6	0	0	0	9	0	0	0	0	0	84	0	0	25	1	0	0	20	0	7	0	89	0	0	0	0	26	0	15	0	0	1	1	0	215	1	0	0	0	0	9	0	0	2	0	0	1	0	0	0	26	0	2	0	0	1	1	120	0	0	6	3	1	214	347	2	0	0	1	0	0	1	1	0	209	0	0
otu18	6	115	43	274	5	18	37	9	53	106	12	19	11	294	7	24	18	6	8	17	9	41	50	48	40	3	74	29	24	12	10	29	40	15	20	1	8	19	11	10	28	4	5	7	7	14	55	72	67	60	7	57	101	11	38	6	0	23	86	243	12	2	23	21	16	25	6	51	5	7	6	663	2	103	12	83	153	22	20	11	9	7	67	11	118	18	16	56	19	8
otu19	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	44	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	98	0	0	0	0	0	18	0	0	0	0	0	0	2	0
otu20	0	3	7	0	0	25	0	0	0	0	37	0	1	0	63	0	38	0	6	0	0	0	0	25	1	0	0	0	0	4	1	0	0	0	9	1	1	2	12	1	0	0	0	0	0	9	1	0	0	0	0	0	0	4	2	0	1	0	0	7	225	5	1	1	2	543	1	28	0	1	1	1	6	2	4	0	1	0	12	0	0	3	0	2	8	2	15	1	51	1
otu21	1	1	4	3	87	130	1	194	0	237	96	28	353	910	272	3	465	30	24	0	127	0	132	7	79	29	0	2	2	453	134	3	4	1	121	225	106	12	765	18	1	223	448	1	0	210	39	0	29	0	2	1	0	606	0	237	151	0	3	20	0	76	79	4	836	251	41	5037	1587	256	227	0	80	195	1	2	50	2	0	144	2	473	181	229	24	25	125	1152	5	785
otu22	0	3	0	0	0	0	0	27	0	1	0	2	249	5	458	246	0	0	155	0	19	0	292	0	1	85	7	0	1	213	1121	3	735	1	0	9	155	0	1	0	0	1239	380	0	1	182	39	0	0	92	0	0	0	0	0	0	18	1	1	3	2261	145	0	0	2	298	36	0	254	38	1137	1	0	14	6	24	9	137	1	350	112	50	27	0	28	3	21	2	0	3
otu23	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	39	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	12	0	0	0	0
otu24	0	0	0	0	0	0	3	0	0	0	0	0	0	74	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	1	0	0	0	0	1127	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0
otu26	632	0	802	2	1	524	105	49	115	1	2	3	6	7	1250	1068	603	229	12	345	0	101	4	2	0	20	0	22	1	125	361	261	5435	700	2	873	2	0	3	0	0	243	1	2	4	912	137	1	1	3	0	0	80	16	1	1635	51	1	19	7	0	6	0	23	9	3	37	5	1	5	1244	0	357	8	149	622	109	2	791	109	421	191	496	328	64	91	205	2	346	1687
otu27	0	1	0	0	0	0	0	83	0	0	0	0	1	0	77	151	0	0	0	0	0	0	0	0	0	286	0	0	0	1	0	1	1	0	0	1	0	2	0	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4653	0	1	3	1	21	0	0	0	985	0	1	0	2966	41	1507	216	1	0	3786	0	2	0	1	0	5	23	8	0	2	1
otu28	38	2	952	2	81	0	47	37	2	1	0	108	265	4	339	76	283	46	63	130	38	0	149	36	0	17	2	22	2737	455	188	58	1	0	0	125	1	17	0	25	15	230	124	2396	463	246	53	8	1	42	0	12	18	473	49	340	243	74	4	117	3141	131	1	25	636	202	108	1	176	52	162	2	92	127	184	32	9	84	481	73	75	48	289	453	302	12	232	2	501	658
otu29	0	2	2	0	0	5	1	1	0	2	10	14	1	6	0	1	5	0	1	0	88	0	0	17	4	0	0	2	2	85	1	14	6	2	0	0	45	11	5	0	40	1	135	6	1	405	78	1	4	1	5	75	66	2	0	3	0	0	2	2	5	0	1	1	433	6	43	15	1	22	42	2	106	44	3	0	4	159	4	1	0	29	0	1	1	0	1	0	4	7
otu30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
otu31	490	17	50	20	58	0	5	0	20	0	358	1	0	0	0	6	29	89	1	1	36	0	0	0	0	3	0	17	2	320	275	1717	2	1	1	1	74	1	1337	4	4	269	1	1507	344	77	1	0	0	0	0	0	2	10	0	19	0	25	473	2	0	0	0	78	2	67	4	2	1	7	0	72	57	0	141	1	100	207	0	215	2	0	28	0	17	10	2	1	232	3838
otu32	1	0	0	0	302	1	1	1	33	0	1	1	2	4248	1	12	0	55	0	3	0	0	1	2	0	1	0	0	0	333	0	0	1	1	0	8	0	0	0	0	1	0	3	0	0	1	14	0	0	0	0	0	0	1	191	0	64	0	2	21	1	0	1	0	0	0	0	1	3	1	0	0	15	2	3	0	0	0	15	0	0	10	0	0	4	163	298	1	517	1
otu33	0	0	0	0	0	0	88	43	0	19	0	92	0	1	0	101	0	0	131	0	0	0	54	0	0	196	0	0	1	0	0	0	1	1	184	0	79	39	0	0	0	0	258	0	0	1	0	1	1	1	1191	23	11	857	0	0	128	1	2	0	0	351	0	1	0	0	54	0	0	0	384	0	0	133	3	537	0	1	341	1	0	35	0	1	0	0	0	0	0	1
otu34	0	0	0	0	0	0	3	0	0	0	0	18	0	51	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	124	6	11	0	0	0	0	46	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	170	16	0	1	0	622	0	0	1	0	241	17	0	4	0	0	1	12	0	5	5	2	0	0	19	1	0	0	0	0	1	200	1	167	1
otu35	0	0	0	0	0	0	0	1	0	0	0	47	0	2	134	2	0	767	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	78	0	0	4	3	0	0	0	0	0	0	0	0	1	0	1	69	25	0	0	1	4	0	2	1	0	0	0	1	12	0	1	2	15	0
otu36	95	451	2	63	0	1315	387	75	16	1	27	39	1192	2977	10	259	151	44	42	80	0	262	157	7495	5	96	18	491	1	156	1285	479	3625	598	492	189	0	203	633	10	15	38	246	261	868	2104	20	57	1283	0	1008	100	4	147	1	768	179	19	260	6	105	4	63	4	291	4	78	5693	159	157	519	1	6	306	132	27	39	219	1918	182	0	61	493	250	1	0	22	3	0	684
otu37	0	3	7	4	0	39	4	0	0	1	13	2	3	18	1	4	28	1	1	1	0	4	1	36	0	3	0	4	0	2	0	3	40	3	18	1	1	0	10	0	0	1	11	0	3	40	0	1	10	0	23	0	0	5	0	8	6	0	6	6	1	3	1	1	3	7	0	93	2	0	2	0	1	9	3	1	2	6	6	5	0	2	8	4	0	0	5	0	15	8
otu38	1	0	491	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	354	1	0	0	1	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	801	0	0	0	0	0	2	0	0	508	307	0	1	0	0	0	3565	0	0	0	0	0	0	0	1	0	0	1495	1	0	1	0	0	0	0	0	0	170	0	0	0	0	3	1
otu39	2	1	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	2	0	0	0	3	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	192	0	1	0	0	2	1	1	1	1	1	2	0	0	1	3	0	0	0	1	3	0	0	0	3	0	0	0	0	1	0
otu40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	52	1	0	0	0	0	0	0	0	0	185	0	0	6	0	0	0
otu41	0	3	25	1	0	0	208	0	0	1	2	210	1	0	0	2	2	2	73	0	1	0	0	1	16	38	0	1	3	62	2	0	3	2388	1	350	0	14	1	53	21	2	1379	0	0	2	86	1	0	97	0	7	196	772	1	990	37	61	62	0	0	160	1	5	853	2	1	0	4	319	81	2	1	7	425	85	18	75	0	0	0	200	2	0	350	98	5128	0	0	0
otu42	823	1094	906	113	186	911	72	66	4	35	384	130	3308	961	980	1263	2242	291	160	6	468	4	1349	21	37	641	15	36	8	1564	2108	1275	4	223	1201	332	66	28	2689	54	24	505	741	415	1	2	844	58	16	104	568	109	99	1647	203	1503	25	7	55	651	3	3243	17	8	719	2782	800	0	1646	1777	2761	5	409	400	1331	322	149	545	1329	863	257	306	120	4899	390	273	1198	6	294	502
otu43	125	666	5	68	67	2	39	172	0	219	149	60	1163	3228	133	6	8	16	102	1	573	1	1915	1026	423	398	119	4	8	295	2847	559	18	7	1124	713	169	671	289	229	885	36	1213	1440	3747	13	406	1968	98	2764	1023	448	390	1240	258	660	626	627	371	495	2	1492	768	63	4796	1466	304	5	1625	1819	103	0	739	323	6	82	406	691	952	5	5	0	2	3367	615	286	1098	231	2156	3
otu44	0	51	462	48	1	904	47	2	1	49	2494	10	2	1	252	40	2952	5	29	53	82	1	0	704	36	35	0	1	4	423	48	39	1	1	418	16	193	72	525	1	1	1	5	2	0	473	2	0	1	0	0	13	77	164	58	0	79	5	1	646	210	215	117	83	44	1155	7	1496	29	1	35	48	123	121	131	7	24	0	237	0	0	22	0	68	75	38	557	1	3318	39
otu45	146	0	244	0	126	0	3	83	2	4	0	0	0	230	189	3	45	19	33	0	79	0	0	4	0	75	1	50	1	745	0	211	0	0	51	20	2	34	0	27	1	0	781	1	0	0	73	0	0	0	0	0	13	0	0	0	540	0	1	2	0	0	0	0	0	1	165	0	715	306	0	1	171	130	0	16	184	107	499	0	720	80	41	1	1	25	1	0	0	1
otu46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu47	0	1	0	1	0	121	0	0	2175	1014	1	0	0	0	24	1	18	92	0	0	1600	0	0	0	73	11	0	0	0	0	81	319	0	0	0	113	0	0	0	0	0	1	0	0	235	0	96	0	1	1	3	0	274	58	36	569	0	170	1378	0	0	138	3	1	0	1	0	4287	640	75	86	0	0	0	1	0	0	0	0	0	1	0	2	0	2	2	0	3	0	0
otu48	0	0	7	0	0	0	0	0	562	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
otu49	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	15	0	115	0	0	59	0	0	0	0	0	0	69	0	0	1	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	193	0
otu50	0	0	0	1	0	276	0	0	314	35	273	84	0	0	0	0	125	143	2	0	257	0	116	0	244	11	0	1927	2	0	45	114	0	0	0	6	1	0	268	38	0	1	77	0	0	182	16	801	856	987	1	593	44	20	207	20	44	3	603	0	0	75	823	0	3	0	59	4	582	7	4	0	0	8	133	1	81	1	0	64	120	0	126	0	267	777	25	0	59	281
